Jul. 2nd, 2005 at 7:40 PM	387
Oct. 9th, 2005at 10:23 PM	578
Nov. 25th, 2005at 2:36 PM	477
Nov. 28th, 2005 at 6:07 PM	121
Dec. 18th, 2005 at 3:40 PM	139
Jan. 3rd, 2006 at 3:26 PM	319
Jan. 21st, 2006 at 1:14 PM	559
Feb. 1st, 2006 at 6:45 PM	502
Feb. 5th, 2006 at 11:41 PM	409
Mar. 7th, 2006 at 11:22 PM	207
Mar. 22nd, 2006 at 12:17 PM	949
Mar. 28th, 2006 at 6:44 PM	455
May. 13th, 2006 at 11:39 PM	505
Jun. 30th, 2006 at 12:12 AM	1375
Jul. 9th, 2006 at 3:31 PM	279
Jul. 14th, 2006 at 12:21 AM	740
Jul. 26th, 2006 at 12:26 PM	479
Aug. 5th, 2006 at 1:35 PM	937
Aug. 9th, 2006 at 4:39 PM	420
Aug. 10th, 2006 at 2:30 PM	557
Aug. 11th, 2006 at 11:45 AM	1299
Aug. 14th, 2006 at 6:19 PM	1207
Aug. 17th, 2006 at 10:11 PM	506
Aug. 29th, 2006 at 1:04 PM	288
Sep. 7th, 2006 at 5:47 PM	382
Sep. 15th, 2006 at 1:42 AM	17
Oct. 17th, 2006 at 4:32 PM	1860
Nov. 5th, 2006 at 11:02 PM	1207
Nov. 8th, 2006 at 11:07 PM	200
Nov. 12th, 2006 at 3:14 PM	80
Dec. 5th, 2006 at 11:18 PM	1204
Dec. 11th, 2006 at 5:50 PM	256
Dec. 25th, 2006 at 9:18 AM	14
Dec. 26th, 2006 at 10:05 AM	966
Jan. 1st, 2007 at 10:17 AM	954
Jan. 5th, 2007 at 12:14 PM	491
Jan. 6th, 2007 at 11:09 PM	634
Jan. 9th, 2007 at 2:15 PM	527
Jan. 10th, 2007 at 11:31 PM	110
Jan. 15th, 2007 at 11:33 AM	937
Jan. 15th, 2007 at 2:53 PM	510
Jan. 17th, 2007 at 12:20 PM	314
Jan. 25th, 2007 at 5:19 PM	333
Feb. 12th, 2007 at 7:26 PM	776
Feb. 20th, 2007 at 9:10 AM	245
Feb. 21st, 2007 at 8:27 AM	141
Feb. 23rd, 2007 at 12:24 AM	47
Feb. 27th, 2007at 6:30 PM	471
Mar. 5th, 2007 at 11:18 AM	618
Mar. 7th, 2007 at 10:55 AM	264
Mar. 10th, 2007 at 10:30 AM	325
Mar. 17th, 2007 at 7:21 PM	874
Mar. 20th, 2007 at 1:14 PM	290
Mar. 30th, 2007 at 11:02 PM	313
Apr. 11th, 2007 at 5:59 PM	79
Apr. 21st, 2007 at 1:07 PM	499
Apr. 27th, 2007 at 12:53 AM	478
Apr. 28th, 2007 at 10:03 PM	1081
May. 18th, 2007 at 1:29 AM	400
May. 29th, 2007 at 5:23 PM	252
May. 30th, 2007 at 3:18 PM	488
May. 31st, 2007 at 11:37 PM	286
Jun. 25th, 2007 at 7:52 PM	752
Jun. 28th, 2007 at 5:46 PM	742
Jul. 2nd, 2007 at 12:48 PM	42
